const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000732,33489,21387,8915,3181,1488,conservative,labour,0
E14000733,31181,15988,4315,3465,414,conservative,labour,0
E14000734,29804,19561,6638,4110,427,conservative,conservative,1
E14000735,30664,30379,7193,2801,93,conservative,conservative,1
E14000736,27994,13491,7475,4213,3691,conservative,conservative,1
E14000737,35610,23022,6707,2850,2047,conservative,labour,0
E14000738,30293,6939,17639,2330,87,conservative,conservative,1
E14000739,29138,24969,5512,3572,409,conservative,conservative,1
E14000740,21847,21155,6204,5599,3071,conservative,labour,0
E14000741,39883,23973,14727,4684,1458,conservative,conservative,1
E14000742,28857,11222,27346,4802,395,conservative,conservative,1
E14000743,25051,24331,5623,5684,458,conservative,conservative,1
E14000744,30249,30390,7770,3424,23,labour,conservative,0
E14000745,31779,16255,10256,3357,3559,conservative,conservative,1
E14000746,28355,14733,6017,3079,77,conservative,conservative,1
E14000747,38585,13716,4459,4940,1943,conservative,conservative,1
E14000748,22205,28618,3945,3537,963,labour,conservative,0
E14000749,28540,22110,8421,4381,413,conservative,conservative,1
E14000750,36228,24172,14640,4466,1281,conservative,labour,0
E14000751,35417,16635,10139,3678,1178,conservative,conservative,1
E14000752,33504,25398,23270,3279,68,conservative,labour,0
E14000753,36373,17070,9390,3062,6717,conservative,conservative,1
E14000754,31226,15732,4196,3452,406,conservative,labour,0
E14000755,26663,26409,10456,3104,321,conservative,labour,0
E14000756,19917,23125,6209,3209,2444,labour,labour,1
E14000757,35203,26104,8836,5205,537,conservative,conservative,1
E14000758,32514,12874,5225,3389,656,conservative,conservative,1
E14000759,32831,18346,11337,3722,1171,conservative,labour,0
E14000760,37135,23118,14286,3577,1129,conservative,labour,0
E14000761,30111,25036,4793,5493,450,conservative,conservative,1
E14000762,45620,21695,16970,5051,2781,conservative,conservative,1
E14000763,33010,15430,15128,2978,3865,conservative,labour,0
E14000764,29764,28280,8162,2913,533,conservative,labour,0
E14000765,27603,17784,5541,2642,5,conservative,labour,0
E14000766,21834,23541,8013,4008,2009,labour,conservative,0
E14000767,25253,23512,7394,2596,1235,conservative,conservative,1
E14000768,32663,20060,13378,3912,978,conservative,conservative,1
E14000769,23189,29388,4116,5120,1018,labour,conservative,0
E14000770,36977,14603,29351,3470,230,conservative,liberal_dem,0
E14000771,19614,21128,6122,3522,1779,labour,labour,1
E14000772,19347,24692,7117,3850,1656,labour,labour,1
E14000773,17928,24318,6537,2386,668,labour,labour,1
E14000774,21657,27679,2746,3915,632,labour,conservative,0
E14000775,35553,13542,4598,10482,254,conservative,labour,0
E14000776,32542,9333,7589,2756,1959,conservative,labour,0
E14000777,23681,40695,10119,8881,1071,labour,labour,1
E14000778,21421,23642,5774,2990,3337,labour,labour,1
E14000779,18573,27286,9596,3006,641,labour,labour,1
E14000780,18530,28708,5465,2737,1422,labour,labour,1
E14000781,18063,27826,7738,4416,934,labour,labour,1
E14000782,22029,45328,3044,4286,0,labour,labour,1
E14000783,20466,47041,6571,5031,0,labour,labour,1
E14000784,20534,31232,3943,4999,695,labour,labour,1
E14000785,39831,13409,5448,3605,2156,conservative,conservative,1
E14000786,28597,14735,12293,2649,1424,conservative,conservative,1
E14000787,33264,13097,7267,4489,5551,conservative,labour,0
E14000788,30848,23289,10027,3978,592,conservative,labour,0
E14000789,33864,22664,22373,3331,539,conservative,labour,0
E14000790,29941,18595,11247,3578,1175,conservative,labour,0
E14000791,27762,23034,3634,3122,2489,conservative,conservative,1
E14000792,26145,28350,3560,7803,4596,labour,conservative,0
E14000793,39878,30424,7031,4244,220,conservative,labour,0
E14000794,31635,13306,4973,3355,675,conservative,labour,0
E14000795,31115,14461,5823,3476,775,conservative,labour,0
E14000796,30960,13535,4388,4893,528,conservative,labour,0
E14000797,25119,34544,3093,4265,1589,labour,conservative,0
E14000798,26263,22686,5262,6895,2546,conservative,conservative,1
E14000799,26015,23276,4185,3454,507,conservative,conservative,1
E14000800,26226,22160,5540,6159,181,conservative,labour,0
E14000801,29120,25677,7491,4620,450,conservative,labour,0
E14000802,37020,13798,6888,3867,737,conservative,conservative,1
E14000803,27909,16833,14616,7757,986,conservative,conservative,1
E14000804,31098,18381,13155,3799,2071,conservative,conservative,1
E14000805,36394,15775,6339,2938,342,conservative,labour,0
E14000806,29329,19166,6408,4042,424,conservative,conservative,1
E14000807,43440,31896,9918,5373,210,conservative,labour,0
E14000808,34239,18656,6846,4094,1050,conservative,labour,0
E14000809,32263,18344,7625,3983,1051,conservative,labour,0
E14000810,25463,24163,5156,7213,3670,conservative,conservative,1
E14000811,29668,15683,12477,3478,1730,conservative,conservative,1
E14000812,28836,25125,4024,5680,2428,conservative,conservative,1
E14000813,34391,26058,8887,5169,555,conservative,conservative,1
E14000814,20481,24325,3779,4389,1080,labour,conservative,0
E14000815,22598,15200,3559,6331,5123,conservative,conservative,1
E14000816,34847,19026,7731,3695,3823,conservative,conservative,1
E14000817,32745,18828,14734,4011,1937,conservative,conservative,1
E14000818,27488,31349,5506,4991,90,labour,conservative,0
E14000819,30636,17751,3224,2441,708,conservative,labour,0
E14000820,37948,11412,3591,2685,3617,conservative,conservative,1
E14000821,36570,17788,18190,3971,4198,conservative,conservative,1
E14000822,34181,32444,13530,3470,612,conservative,conservative,1
E14000823,32259,18635,10996,3697,1238,conservative,labour,0
E14000824,30588,13784,11771,2711,3377,conservative,conservative,1
E14000825,33623,13250,3956,4060,727,conservative,conservative,1
E14000826,24135,20536,9162,5210,4905,conservative,conservative,1
E14000827,28139,14032,10920,3185,1719,conservative,conservative,1
E14000828,28652,14939,6856,4053,2825,conservative,conservative,1
E14000829,26864,24264,5195,4345,5289,conservative,conservative,1
E14000830,33791,13838,9637,5365,7033,conservative,conservative,1
E14000831,29785,19828,5029,3719,478,conservative,labour,0
E14000832,27506,31495,8925,2521,0,labour,labour,1
E14000833,34022,13787,3545,6005,2022,conservative,labour,0
E14000834,24348,21947,4286,2419,1676,conservative,conservative,1
E14000835,23870,22062,6415,5375,2523,conservative,conservative,1
E14000836,26337,25479,8933,5329,3979,conservative,labour,0
E14000837,24521,13809,11314,3726,5916,conservative,conservative,1
E14000838,24706,22847,6497,5550,2585,conservative,conservative,1
E14000839,24760,28159,5899,4530,843,labour,conservative,0
E14000840,30979,15385,4273,3407,400,conservative,labour,0
E14000841,37151,23009,6100,6183,3414,conservative,conservative,1
E14000842,37586,20833,7269,3700,2566,conservative,conservative,1
E14000843,22901,26147,3811,4756,1081,labour,conservative,0
E14000844,27065,12837,24246,4792,533,conservative,conservative,1
E14000845,30344,18673,9313,3761,1310,conservative,conservative,1
E14000846,22801,23387,6744,5444,2391,labour,conservative,0
E14000847,28931,19267,4385,2566,4114,conservative,conservative,1
E14000848,31255,14821,6280,2810,2030,conservative,conservative,1
E14000849,30814,29789,5004,4286,536,conservative,conservative,1
E14000850,25777,17373,13701,4865,5032,conservative,conservative,1
E14000851,25160,30932,6068,8485,848,labour,conservative,0
E14000852,30614,13492,8940,2947,4324,conservative,conservative,1
E14000853,36786,19060,4053,5036,940,conservative,labour,0
E14000854,23519,26924,2787,6266,53,labour,conservative,0
E14000855,41417,30781,6458,4525,1988,conservative,conservative,1
